time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
0,1.45438,8.85889,0.19571,16.8478,66.1115
28,2.26458,3.07756,0.204058,16.2495,28.0886
50,12.6298,0.451246,0.176696,17.0221,22.5642
81,13.5304,0.369159,0.172058,17.1497,30.9908
113,11.5223,0.45171,0.222609,17.1144,31.9346
143,15.3744,0.335768,0.172058,16.1526,30.1087
176,12.4429,0.350609,0.173913,16.2578,32.8
206,14.3944,0.346898,0.178087,16.2291,29.9534
238,14.3875,0.349217,0.177623,16.4415,31.9165
270,14.2163,0.341797,0.179478,16.5092,32.0867
302,30.1769,0.32371,0.17484,16.5343,31.9114
350,15.1805,0.335304,0.182725,16.5565,47.9248
383,14.0726,0.458666,0.173913,16.4545,32.9799
415,14.0995,0.404869,0.193391,16.5482,31.9035
447,15.5886,0.370551,0.177159,16.6247,32.4327
481,13.9209,0.350145,0.17113,16.7225,33.5276
513,12.0032,0.429449,0.191536,18.5113,31.9244
544,11.9865,0.367768,0.194783,16.8812,31.8771
575,13.741,0.366377,0.171594,16.9169,30.1315
606,14.7557,0.345971,0.172522,16.9925,31.9137
639,12.7471,0.339014,0.177623,16.8812,32.9813
670,30.6782,0.352927,0.179014,16.9948,30.8753
719,13.6464,0.363594,0.175768,17.1882,48.9535
751,13.5007,0.379362,0.178551,17.1984,32.0765
783,13.4098,0.469797,0.180406,17.1905,31.9536
815,13.3913,0.454029,0.172985,16.1683,31.9726
846,14.4042,0.437797,0.171594,16.3177,30.9106
878,14.2168,0.432695,0.172058,16.4016,32.0918
910,14.2432,0.457275,0.197565,17.2967,31.9216
943,13.1956,0.477681,0.246725,17.37,32.9591
975,13.094,0.40858,0.177159,16.5588,32.0241
1006,14.073,0.410435,0.179014,16.4355,30.9384
1038,30.1004,0.371014,0.179014,16.8148,31.7959
1086,14.8364,0.381217,0.173449,16.9809,48.1391
1119,13.7674,0.371942,0.172985,16.7703,33.0133
1151,13.9038,0.361739,0.177159,16.8932,31.7829
1183,13.8152,0.457275,0.177623,16.826,32.0037
1215,13.7906,0.414145,0.230029,16.7643,31.9499
1247,14.765,0.373333,0.172058,16.0524,31.8998
1279,16.6868,0.358493,0.177159,16.057,32.0482
1313,13.6301,0.379362,0.171594,16.1081,33.945
1344,12.6173,0.44058,0.192927,17.0523,30.9834
1375,13.4892,0.370087,0.178551,16.1396,31.0187
1406,30.5104,0.363594,0.179014,16.3724,30.8512
1454,14.3151,0.340406,0.177623,16.3065,48.1062
1486,14.4111,0.333913,0.178551,16.474,31.8108
1518,15.2598,0.332058,0.172985,16.5394,32.0357
1551,14.2423,0.338087,0.179478,16.5273,32.9637
1582,14.1737,0.470261,0.195246,16.5231,31.9828
1615,15.0623,0.414145,0.178087,16.5292,32.0153
1647,14.1653,0.38771,0.179014,16.6205,32.8273
1679,14.9491,0.401159,0.172985,16.7977,32.0612
1712,11.929,0.44429,0.230493,16.6316,32.9869
1742,13.8092,0.406261,0.188754,16.826,29.9863
1774,30.7891,0.356174,0.172985,16.8,31.9504
1823,12.9025,0.35942,0.179014,16.8705,48.7986
1854,14.8508,0.395594,0.177623,16.8529,30.9816
1887,12.7685,0.407188,0.179942,17.0296,32.979
1918,14.5609,0.402551,0.173449,17.0783,31.0817
1951,13.658,0.409043,0.177623,17.0407,32.858
1983,13.5903,0.458666,0.177159,16.122,31.9722
2014,14.4218,0.447536,0.188754,16.0352,31.0488
2046,15.5807,0.414145,0.172058,16.1526,31.7829
2079,15.4722,0.425275,0.173449,16.2138,33.005
2112,28.3195,0.482319,0.196174,16.2481,33.0175
2158,14.2595,0.392348,0.195246,16.4183,45.9784
2190,14.2409,0.396522,0.171594,16.4856,31.9216
2222,14.1635,0.377971,0.173913,16.5185,31.9977
2254,15.1634,0.39142,0.177159,16.582,31.9318
2287,14.0614,0.370551,0.178551,16.6094,33.0305
2319,14.0155,0.363594,0.178551,16.7225,31.9504
2351,13.9251,0.372869,0.172058,16.8153,31.9787
2383,13.9014,0.468869,0.188754,16.7188,31.9434
2415,14.8749,0.414145,0.183652,16.7865,31.9494
2448,15.8465,0.396985,0.187362,16.8315,32.9693
2482,26.7654,0.393275,0.203594,16.9521,34.0211
2527,15.4565,0.362666,0.172985,17.0722,45.0935
2560,11.6151,0.36684,0.173913,17.0653,33.7744
2590,13.6111,0.369623,0.174377,16.1985,29.9172
2621,15.4296,0.328348,0.172522,16.262,31.0711
2654,14.4473,0.358956,0.190145,16.2537,32.8951
2686,14.4102,0.323246,0.172985,16.3821,31.9513
2718,14.3805,0.324174,0.172985,16.3993,31.9921
2750,14.2562,0.346435,0.171594,16.4693,31.9819
2782,14.2938,0.457275,0.170667,16.3886,31.904
2814,14.2126,0.400695,0.173913,16.5514,31.9898
2846,33.0472,0.380753,0.178551,16.557,32.0765
2897,15.1003,0.391884,0.177623,16.6098,50.8559
2930,11.0915,0.369623,0.17484,16.4624,32.986
2959,13.9645,0.382609,0.208232,16.723,28.9387
2991,12.9108,0.352927,0.178087,16.9554,31.9916
3022,14.7446,0.359884,0.178087,16.7847,31.1128
3055,13.888,0.376116,0.179014,16.7555,32.7578
3087,13.8597,0.360348,0.176696,16.9104,31.9402
3119,13.7934,0.36684,0.178087,16.9076,31.9953
