time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
0,13.5828,2.26551,0.64371,16.7995,29.8546
33,13.7224,1.82678,0.632579,16.3116,33.7577
66,27.674,1.76788,0.629333,16.41,32.9586
113,1.63293,1.46736,0.62655,16.7003,46.9704
134,1.64127,1.68209,1.01612,17.1664,20.9187
156,3.5251,1.56243,0.64742,16.627,22.0763
179,12.6057,1.58933,0.660405,16.6456,22.8429
211,42.617,1.63246,0.650666,16.4777,31.9726
273,16.4958,1.54156,0.488348,16.8385,61.8968
309,8.52452,1.58145,0.695188,16.8417,35.8233
337,12.346,1.59304,0.681739,16.7128,28.1053
369,14.4668,1.59258,0.709565,16.8881,31.8363
403,10.1871,1.52533,0.608927,16.9985,34.1384
433,30.2752,1.63803,0.634898,16.755,29.7827
483,1.95617,1.55872,0.763362,16.9452,50.2502
505,3.26214,1.54713,0.48371,16.0501,21.6853
526,1.37971,1.52904,0.658087,16.9141,21.766
547,12.3061,1.50864,0.64742,16.998,21.0189
579,12.1971,1.48638,0.684521,16.9401,32.0065
611,45.2522,1.56336,0.61542,16.9823,31.8126
676,9.19281,1.53554,0.523594,16.3121,64.9711
704,12.999,1.55269,0.797681,16.9795,28.0788
737,16.2351,1.53925,0.645101,16.7615,32.8617
773,26.0795,1.59212,0.62655,16.3423,35.8302
818,2.01554,1.54527,0.644637,17.3074,45.0532
840,1.95803,1.63988,0.62284,17.0143,21.9826
862,2.0582,1.54574,0.615884,16.3752,21.8328
883,10.8879,1.52951,0.620058,16.4406,21.0319
913,12.9229,1.50956,0.624695,16.3525,29.9056
945,12.8798,1.53646,0.621449,16.3492,31.9587
977,46.7747,1.57125,0.650203,16.3942,31.9216
1042,12.9043,1.62875,0.651594,16.1943,65.8643
1074,10.8114,1.59304,0.961391,17.2754,31.9174
1105,15.6846,1.58145,0.704463,16.5176,31.0905
1140,26.585,1.57867,0.73971,16.6488,34.9203
1186,3.53809,1.25774,0.628869,17.0041,46.003
1209,1.64452,1.59954,0.679884,16.4972,22.8447
1230,1.74238,1.65797,0.638608,16.5616,20.8737
1251,10.5948,1.54759,0.61913,16.7661,21.0152
1281,12.5616,1.60046,0.614029,16.7448,29.9497
1313,14.4519,1.56754,0.692405,16.6664,32.0264
1347,12.4703,1.53136,0.666434,16.8501,33.8755
1379,12.4512,1.52765,0.658087,16.8422,31.9429
1411,42.4436,1.67791,0.697971,16.4851,31.8952
1473,12.4587,1.65426,0.744811,16.6298,61.8903
1505,30.2701,1.67977,0.704,16.7258,32.044
1555,3.43049,1.24568,0.634898,16.2333,49.785
1577,1.40383,1.54667,0.612637,16.8635,21.9984
1597,1.41264,1.49704,0.641391,16.9099,20.8974
1618,12.3172,1.62504,0.609855,16.9804,21.0031
1650,12.2871,1.55872,0.622377,17.0657,31.9559
1682,11.2264,1.55826,0.617739,17.1232,31.955
1713,12.2064,1.52301,0.618666,17.2165,30.9426
1745,14.1078,1.55177,0.62655,16.2263,31.9986
