time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
3839,14.4515,0.333449,0.176696,16.5013,30.9092
3871,14.393,0.337623,0.177623,16.5653,31.9666
3903,31.3331,0.321391,0.177159,16.6372,31.9629
3952,14.291,0.361739,0.176696,16.6061,48.9447
3984,14.2544,0.342261,0.176696,16.7457,31.9304
4016,16.1985,0.458666,0.182261,16.5579,32.0028
4050,12.2235,0.410435,0.180869,16.7592,33.8671
4080,15.0627,0.398377,0.180869,16.8668,30.0633
4113,15.9972,0.399768,0.184116,16.8941,33.0105
4147,12.96,0.391884,0.175304,16.9989,33.9524
4178,11.9128,0.44429,0.24858,16.8441,30.9904
4208,13.8514,0.38771,0.180406,16.0297,29.9302
4239,15.8623,0.432695,0.203594,16.9925,30.9022
4273,29.7516,0.403942,0.181333,16.198,33.9807
4320,14.6606,0.395594,0.180869,16.2027,47.0006
4352,14.7093,0.358956,0.180406,16.2231,31.9193
4384,14.6588,0.357101,0.180406,16.3631,31.9462
4416,14.5234,0.454493,0.183652,16.2963,32.0394
4448,15.5154,0.401159,0.181797,16.3636,31.9184
4480,14.4798,0.384464,0.181333,16.429,32.9489
4512,14.4389,0.34829,0.175768,16.5927,31.9596
4544,18.3184,0.364985,0.179942,16.6391,32.0301
4580,9.35327,0.559304,0.229565,17.3421,35.961
4608,14.1667,0.402551,0.189681,16.7476,27.993
4640,30.0651,0.353391,0.174377,16.8858,31.9787
4688,14.0452,0.365913,0.175304,16.793,47.9235
4720,14.1152,0.357565,0.179942,16.909,31.8502
4752,14.0707,0.370551,0.180406,16.9159,32.0107
4784,13.9464,0.364985,0.176232,17.0713,31.9838
4816,13.8931,0.461449,0.191072,16.8978,32.0018
4848,16.8895,0.402087,0.180406,17.0578,31.9026
4883,11.795,0.396522,0.178087,16.0951,35.002
4912,14.7599,0.380753,0.18458,17.1005,28.9628
4945,15.7746,0.381681,0.179014,17.1409,32.9099
4979,27.6559,0.420637,0.191536,16.2945,33.964
5024,14.5637,0.390956,0.181333,16.3794,45.0263
5056,14.5345,0.385855,0.179478,16.3886,31.9703
5088,14.4376,0.370551,0.176696,16.5533,31.9722
5120,14.3281,0.36313,0.177159,16.4178,32.0218
5152,14.4742,0.361275,0.192927,16.48,31.7607
5184,14.3508,0.354319,0.175768,16.6298,32.0171
5216,15.321,0.470724,0.173913,17.5239,31.9856
5250,13.2563,0.399304,0.187826,16.6479,33.9807
5281,14.1704,0.372406,0.175768,16.7049,30.9839
5313,14.1922,0.363594,0.185971,16.8459,31.8896
5345,29.978,0.358956,0.179014,17.0082,32.0895
5393,13.9214,0.413217,0.177159,16.8148,47.9995
5424,13.9344,0.334377,0.177623,16.0283,31.8525
5455,14.9004,0.352464,0.179014,16.9948,30.9718
5488,13.9001,0.370087,0.21658,16.9753,32.9136
5520,13.8212,0.338087,0.183188,17.2438,31.9773
5552,13.6747,0.356638,0.177623,17.248,32.0399
5584,13.6951,0.324174,0.184116,16.3279,31.9137
5615,15.5752,0.456811,0.186898,16.1006,31.0154
5648,13.7303,0.403478,0.196638,17.2197,32.794
5680,14.5869,0.372869,0.177623,16.4842,32.0436
5712,33.369,0.35571,0.178087,16.4911,32.0862
5763,11.431,0.364058,0.214261,16.454,50.8851
5792,14.3967,0.39142,0.189681,16.4934,28.9869
5824,14.2344,0.358956,0.176696,16.6502,31.9884
5856,14.2757,0.332985,0.180406,16.6437,31.8961
5888,14.2201,0.367768,0.177623,16.7035,31.9332
5920,14.2483,0.34458,0.191072,16.7225,31.961
5952,14.1111,0.313971,0.182261,16.8969,31.993
5984,14.0127,0.343652,0.172522,16.8978,31.98
6016,15.0669,0.45542,0.178551,16.9289,31.8813
6049,13.8861,0.405333,0.180869,16.8584,33.1033
6081,31.9253,0.369623,0.181333,17.0351,31.8247
6131,11.8636,0.36684,0.176696,17.1682,49.9738
6161,15.699,0.355246,0.176232,16.3135,30.0545
6194,12.6177,0.435478,0.235594,16.953,33.0286
6225,15.7616,0.377971,0.188754,17.024,30.8155
6258,11.7148,0.349217,0.180406,16.3321,33.9269
6288,14.5512,0.373333,0.180869,16.2388,29.0685
6319,14.6546,0.340406,0.183188,16.3775,31.8122
6351,16.5319,0.343188,0.184116,16.486,32.0273
6385,13.4233,0.363594,0.180869,16.4587,34.0267
6416,14.4028,0.457739,0.172985,16.3441,30.9296
6448,30.3638,0.393275,0.174377,16.6483,31.8799
6496,15.2505,0.384,0.180406,16.6047,48.0501
6529,13.2202,0.389565,0.178551,16.6159,32.9145
6560,14.2613,0.356638,0.185043,16.7759,30.9213
6592,14.1194,0.44429,0.194783,16.6548,32.0723
6624,14.0981,0.368695,0.182261,16.7884,31.9091
6656,14.093,0.399768,0.185507,16.7397,31.9216
6688,14.0559,0.35571,0.180869,17.0031,31.9221
6720,13.869,0.365449,0.178551,16.1108,32.0886
6751,15.7602,0.361275,0.178087,16.1275,31.052
6784,13.7382,0.358029,0.178087,17.1515,32.9085
6816,30.6806,0.472579,0.19571,16.1108,31.9313
6864,14.6755,0.400695,0.183188,16.1651,47.9383
6896,14.6662,0.375652,0.179478,16.2852,31.9318
6928,16.5704,0.362203,0.177623,17.4298,31.9838
6963,15.4917,0.361739,0.181333,16.3998,35.0168
6996,10.4816,0.787478,0.196174,16.9832,32.9577
7025,13.3236,0.364985,0.175304,16.6034,29.0068
7056,14.3573,0.343188,0.181797,16.6307,30.9055
7088,14.2873,0.345043,0.179942,16.634,31.9972
7120,16.2773,0.326493,0.177623,16.7026,31.9072
7154,29.2141,0.34458,0.176696,16.704,33.9376
7200,14.2636,0.352,0.180406,16.7861,46.8832
7232,14.0814,0.447072,0.175768,16.7703,32.051
7264,14.1134,0.402087,0.180406,16.8487,31.9276
7296,15.9838,0.368232,0.179942,16.8705,32.0171
7330,13.017,0.374261,0.175768,16.953,33.8824
7361,14.9649,0.364058,0.181333,17.0796,30.9843
7394,16.8209,0.38771,0.186435,17.0017,33.0509
7429,8.85008,0.375652,0.18458,17.3152,34.9036
7456,13.5035,0.368695,0.178087,16.1813,27.2385
7487,14.7418,0.352927,0.183652,17.2109,30.682
7520,30.6189,0.346898,0.180869,16.2982,32.9665
7568,14.6073,0.355246,0.177159,16.3678,47.9262
7600,14.5187,0.340869,0.172058,16.4095,31.9875
7632,14.5567,0.450782,0.187362,16.397,31.9058
7664,14.4181,0.391884,0.181797,16.4313,32.0524
7696,15.456,0.371478,0.180406,16.4647,31.885
7729,14.4338,0.375652,0.181797,16.5069,32.9377
7761,15.3039,0.359884,0.178087,16.7759,32.0083
7794,12.2092,0.395594,0.232348,16.57,33.069
7824,16.1595,0.362203,0.182261,16.6613,29.946
7858,12.1516,0.35571,0.181333,16.7504,33.9381
7888,30.0804,0.352927,0.175768,16.9493,29.9093
7936,13.977,0.385855,0.193855,16.8552,48.0287
7968,14.9417,0.353391,0.177159,15.9842,31.9128
8000,14.9959,0.339014,0.180406,16.0074,31.9086
8032,14.8475,0.449391,0.175768,16.5797,32.0153
8064,14.2409,0.402087,0.183652,16.1006,32.5259
8096,14.7515,0.370551,0.176696,16.1252,31.4272
8127,15.7227,0.364985,0.177159,16.1841,31.9258
8160,14.7339,0.361739,0.180869,16.2068,32.9368
8192,13.6283,0.382609,0.202667,17.2577,32.0042
8224,13.5174,0.341333,0.178087,16.313,32.0042
8255,30.5683,0.332058,0.182725,16.3497,30.8331
8303,14.5363,0.333449,0.177623,16.4958,47.9332
8335,15.3734,0.355246,0.179014,16.5162,32.0556
8368,14.4056,0.329739,0.177623,16.5579,32.9048
8400,14.3355,0.32742,0.177159,16.6024,31.9879
8432,14.3434,0.457275,0.179478,16.5296,31.9281
8464,16.1971,0.394666,0.192927,16.6952,32.0255
8498,13.1645,0.402087,0.191536,16.7323,33.964
8529,14.0948,0.372406,0.179942,16.8181,30.9811
8561,16.9976,0.354782,0.176696,16.8946,31.9712
8596,12.0023,0.352927,0.179478,16.9076,34.9236
8626,27.9286,0.353391,0.187826,17.011,29.9789
8672,14.7784,0.375652,0.179478,17.1283,46.0202
8705,13.805,0.346435,0.192,16.1609,32.9284
8736,14.7061,0.354319,0.189681,16.0992,31.0043
8768,14.7882,0.329739,0.180406,16.1665,31.8446
8800,14.7478,0.328811,0.181797,16.2722,31.9406
8832,14.6606,0.449391,0.182261,16.1762,32.0042
8864,14.6124,0.393275,0.183188,16.3246,31.9545
8896,16.4985,0.362666,0.178087,16.5078,32.026
8930,13.4131,0.381681,0.176232,16.4763,34.0248
8961,15.2965,0.368695,0.181333,16.4652,30.9788
8993,28.3687,0.361739,0.193855,16.5987,32.8264
9039,14.266,0.395594,0.18458,16.531,46.0345
9071,15.3544,0.339478,0.182725,16.6488,31.8326
9104,14.2293,0.320927,0.173913,16.7402,32.9883
9136,14.1932,0.342261,0.179478,16.7253,31.9499
9168,14.2117,0.33113,0.178087,16.9266,31.9216
9200,13.9988,0.352464,0.182261,16.8584,32.1345
9232,14.0939,0.45542,0.180869,16.7388,31.8428
9264,14.0638,0.417855,0.190609,16.8005,31.9559
9296,14.0216,0.377043,0.195246,17.0156,31.9573
9328,14.7627,0.351072,0.175304,17.1061,32.0964
9361,29.7841,0.361275,0.175304,16.2309,32.8635
9408,13.6561,0.356174,0.188754,16.3617,47.059
9439,14.5461,0.377971,0.183188,16.2263,31.0335
9471,15.6239,0.319536,0.177159,16.3418,31.8224
9504,14.675,0.327884,0.179014,16.3191,32.9215
9536,14.489,0.33113,0.177623,16.5254,32.0167
9568,14.4283,0.360811,0.189681,16.499,32.0004
9600,14.3754,0.340406,0.184116,16.6242,31.9731
9632,14.2669,0.448464,0.181797,16.4239,32.0213
9664,14.3805,0.390493,0.179942,16.5769,31.8006
9696,31.2371,0.370551,0.180869,16.6377,32.0042
9745,14.2479,0.345043,0.179014,16.7392,48.9029
9777,13.178,0.401623,0.249043,16.6502,32.0051
9808,15.1601,0.426203,0.218898,16.6265,30.989
9841,14.0285,0.394666,0.198493,16.7768,32.9776
9872,14.0531,0.326029,0.182725,16.8914,31.8961
9904,13.9826,0.322782,0.177623,17.0161,31.9439
9936,13.9566,0.360811,0.18829,16.0255,31.9865
9967,14.8517,0.342724,0.182725,16.0325,31.0098
9999,14.8239,0.354782,0.175304,17.1886,31.9063
10032,13.7549,0.45542,0.176232,17.0537,33.0235
10064,30.6926,0.402551,0.175304,16.1201,31.9536
10112,14.6987,0.376116,0.180869,16.2565,47.8924
10144,14.5484,0.357101,0.176696,16.2648,32.0598
10176,14.6509,0.365913,0.213333,16.4424,31.8233
10208,14.3875,0.403478,0.190145,16.32,32.1632
10240,14.4603,0.334377,0.211942,16.4805,31.8326
10272,14.4334,0.318145,0.175768,16.6581,31.9346
10304,16.2588,0.330667,0.172058,16.7114,32.058
10338,12.2806,0.358493,0.176232,16.6335,33.9409
10368,14.2122,0.32371,0.174377,16.7865,29.9409
10400,14.1602,0.339478,0.177159,16.7341,31.9893
10432,31.1364,0.449391,0.182261,16.7726,31.9054
10481,13.9914,0.396985,0.176696,16.8812,49.0207
10513,13.9562,0.377971,0.17484,16.9303,31.9425
10545,14.003,0.330667,0.181333,18.009,31.9054
10578,16.9043,0.353391,0.183652,17.0263,33.0161
10613,9.87315,0.399304,0.186435,17.0745,34.9834
10641,13.6519,0.321391,0.212869,16.1113,28.0742
10672,14.7821,0.334377,0.181797,16.1572,30.8016
10704,16.7541,0.338087,0.175304,16.3279,31.9313
10738,12.5983,0.362666,0.181333,16.3093,34.0786
10768,14.5442,0.338551,0.176696,16.326,29.9353
10799,30.5813,0.328348,0.183188,16.4944,31.8673
10848,14.3731,0.450319,0.183652,16.3107,48.0881
10879,14.5076,0.39884,0.182261,16.4146,31.8187
10911,15.4263,0.364058,0.176696,16.5111,31.9912
10944,16.3274,0.338551,0.178551,16.6163,32.9758
10978,14.304,0.355246,0.178087,16.7072,33.9645
11010,12.2198,0.436406,0.19571,16.4981,32.0232
11040,14.2748,0.338087,0.195246,16.8473,29.836
