time[ms],x,y,arc,pos
1698,-4992,5209,0,0
1706,-5009,5231,0,0
1715,-5028,5254,0,0
1722,-5048,5276,0,0
1730,-5072,5301,0,0
1739,-5095,5325,0,0
1746,-5118,5351,0,0
1755,-5137,5375,0,0
1762,-5155,5401,0,0
1771,-5177,5425,0,0
1779,-5198,5451,0,0
1787,-5220,5479,0,0
1794,-5240,5508,0,0
1803,-5262,5534,0,0
1810,-5287,5560,0,0
1819,-5312,5586,0,0
1826,-5337,5611,0,0
1834,-5362,5641,0,0
1843,-5387,5670,0,0
1852,-5412,5696,0,0
1859,-5442,5729,0,0
1867,-5470,5770,0,0
1876,-5494,5813,0,0
1883,-5517,5858,0,0
1892,-5539,5901,0,0
1899,-5567,5946,0,0
1908,-5592,5980,0,0
1915,-5619,6006,0,0
1923,-5645,6029,0,0
1932,-5670,6050,0,0
1940,-5695,6073,0,0
1948,-5720,6099,0,0
1955,-5745,6124,0,0
1963,-5767,6150,0,0
1970,-5785,6174,0,0
1979,-5802,6196,0,0
1987,-5819,6218,0,0
1994,-5837,6238,0,0
2003,-5857,6260,0,0
2011,-5878,6286,0,0
2019,-5895,6311,0,0
2026,-5910,6333,0,0
2035,-5930,6354,0,0
2042,-5949,6375,0,0
2051,-5967,6395,0,0
2058,-5989,6424,0,0
2067,-6009,6453,0,0
2074,-6029,6480,0,0
2083,-6052,6508,0,0
2090,-6075,6535,0,0
2099,-6102,6566,0,0
2106,-6128,6601,0,0
2115,-6150,6636,0,0
2122,-6175,6675,0,0
2131,-6200,6711,0,0
2138,-6228,6745,0,0
2147,-6254,6776,0,0
2154,-6279,6804,0,0
2163,-6307,6830,0,0
2170,-6335,6856,0,0
2179,-6360,6883,0,0
2186,-6388,6909,0,0
2195,-6417,6936,0,0
2204,-6447,6960,0,0
2210,-6477,6986,0,0
2219,-6503,7009,0,0
2227,-6532,7029,0,0
2236,-6560,7049,0,0
2243,-6584,7066,0,0
2252,-6610,7084,0,0
2259,-6638,7099,0,0
2268,-6660,7111,0,0
2275,-6682,7123,0,0
2283,-6702,7136,0,0
2292,-6720,7150,0,0
2299,-6737,7164,0,0
2308,-6749,7175,0,0
2316,-6764,7188,0,0
2323,-6787,7201,0,0
2332,-6809,7214,0,0
2339,-6832,7224,0,0
2347,-6855,7238,0,0
2354,-6875,7253,0,0
2363,-6895,7270,0,0
2370,-6915,7285,0,0
2378,-6935,7296,0,0
2387,-6957,7309,0,0
2394,-6978,7324,0,0
2403,-6997,7339,0,0
2410,-7017,7358,0,0
2419,-7037,7380,0,0
2426,-7054,7401,0,0
2435,-7077,7425,0,0
2443,-7097,7449,0,0
2450,-7117,7475,0,0
2459,-7135,7503,0,0
2466,-7155,7530,0,0
2475,-7174,7558,0,0
2482,-7195,7586,0,0
2491,-7219,7611,0,0
2498,-7240,7638,0,0
2507,-7263,7663,0,0
2514,-7282,7688,0,0
2523,-7302,7711,0,0
2530,-7322,7733,0,0
2539,-7344,7751,0,0
2546,-7368,7771,0,0
2555,-7390,7790,0,0
2562,-7413,7809,0,0
2571,-7439,7828,0,0
2579,-7465,7846,0,0
2588,-7490,7864,0,0
2595,-7517,7880,0,0
2604,-7542,7895,0,0
2611,-7567,7909,0,0
2620,-7593,7925,0,0
2627,-7619,7940,0,0
2636,-7648,7954,0,0
2643,-7677,7965,0,0
2652,-7704,7976,0,0
2659,-7729,7989,0,0
2667,-7753,8001,0,0
2676,-7775,8013,0,0
2683,-7798,8021,0,0
2691,-7820,8030,0,0
2700,-7843,8040,0,0
2707,-7863,8049,0,0
2715,-7884,8055,0,0
2722,-7905,8061,0,0
2731,-7927,8069,0,0
2738,-7948,8075,0,0
2747,-7973,8088,0,0
2754,-7994,8100,0,0
2763,-8014,8110,0,0
2770,-8037,8123,0,0
2779,-8057,8129,0,0
2786,-8077,8135,0,0
2795,-8097,8141,0,0
2802,-8115,8148,0,0
2811,-8138,8158,0,0
2819,-8159,8168,0,0
2826,-8177,8179,0,0
2835,-8198,8190,0,0
2842,-8218,8203,0,0
2851,-8240,8216,0,0
2858,-8262,8230,0,0
2867,-8284,8246,0,0
2874,-8308,8263,0,0
2882,-8334,8283,0,0
2891,-8359,8305,0,0
2898,-8380,8333,0,0
2907,-8400,8359,0,0
2914,-8422,8383,0,0
2923,-8445,8410,0,0
2930,-8473,8436,0,0
2939,-8498,8463,0,0
2946,-8527,8489,0,0
2955,-8555,8516,0,0
2964,-8580,8543,0,0
2972,-8605,8570,0,0
2979,-8632,8599,0,0
2988,-8657,8625,0,0
2995,-8682,8651,0,0
3004,-8708,8680,0,0
3011,-8732,8705,0,0
3019,-8758,8730,0,0
3028,-8779,8755,0,0
3036,-8802,8779,0,0
3043,-8828,8805,0,0
3052,-8850,8830,0,0
3059,-8872,8853,0,0
3068,-8894,8878,0,0
3076,-8912,8900,0,0
3083,-8932,8921,0,0
3092,-8948,8944,0,0
3098,-8964,8966,0,0
3107,-8979,8989,0,0
3114,-8999,9014,0,0
3122,-9019,9036,0,0
3131,-9039,9059,0,0
3138,-9059,9080,0,0
3147,-9078,9103,0,0
3154,-9098,9129,0,0
3163,-9117,9150,0,0
3170,-9139,9171,0,0
3179,-9160,9196,0,0
3187,-9182,9220,0,0
3194,-9204,9246,0,0
3203,-9227,9271,0,0
3210,-9250,9296,0,0
3219,-9275,9321,0,0
3226,-9302,9350,0,0
3235,-9327,9379,0,0
3242,-9354,9410,0,0
3251,-9384,9446,0,0
3258,-9412,9488,0,0
3267,-9434,9533,0,0
3274,-9457,9575,0,0
3282,-9480,9618,0,0
3291,-9504,9655,0,0
3298,-9534,9688,0,0
3307,-9559,9715,0,0
3314,-9587,9738,0,0
3323,-9612,9759,0,0
3332,-9640,9779,0,0
3339,-9668,9806,0,0
3348,-9695,9828,0,0
3355,-9722,9851,0,0
3364,-9747,9873,0,0
3371,-9770,9893,0,0
3380,-9793,9911,0,0
3387,-9814,9925,0,0
3396,-9837,9941,0,0
3403,-9862,9961,0,0
3412,-9884,9979,0,0
3419,-9903,9995,0,0
3428,-9922,10013,0,0
3435,-9938,10031,0,0
3444,-9954,10054,0,0
3451,-9972,10075,0,0
3459,-9994,10096,0,0
3467,-10017,10119,0,0
3474,-10038,10140,0,0
3483,-10062,10165,0,0
3490,-10083,10190,0,0
3499,-10103,10226,0,0
3506,-10129,10266,0,0
3514,-10153,10309,0,0
3523,-10182,10356,0,0
3530,-10210,10404,0,0
3539,-10239,10453,0,0
3546,-10264,10495,0,0
3555,-10287,10534,0,0
3562,-10307,10568,0,0
3571,-10323,10595,0,0
3578,-10342,10616,0,0
3587,-10359,10639,0,0
3594,-10378,10664,0,0
3603,-10397,10690,0,0
3610,-10412,10715,0,0
3619,-10427,10741,0,0
3626,-10442,10768,0,0
3635,-10463,10793,0,0
3642,-10485,10815,0,0
3651,-10509,10840,0,0
3658,-10533,10864,0,0
3667,-10557,10888,0,0
3674,-10582,10911,0,0
3683,-10604,10935,0,0
3690,-10627,10963,0,0
3699,-10649,10986,0,0
3706,-10673,11011,0,0
3715,-10699,11034,0,0
3724,-10724,11055,0,0
3731,-10749,11076,0,0
3739,-10775,11103,0,0
3747,-10800,11126,0,0
3756,-10825,11150,0,0
3763,-10853,11176,0,0
3772,-10879,11203,0,0
3779,-10905,11230,0,0
3787,-10932,11259,0,0
3796,-10959,11285,0,0
3803,-10988,11315,0,0
3812,-11015,11344,0,0
3820,-11040,11373,0,0
3827,-11067,11400,0,0
3835,-11092,11425,0,0
3843,-11117,11453,0,0
3851,-11139,11480,0,0
3858,-11162,11506,0,0
3867,-11183,11531,0,0
3874,-11204,11558,0,0
3882,-11225,11581,0,0
3891,-11242,11605,0,0
3898,-11258,11628,0,0
3907,-11278,11653,0,0
3915,-11298,11675,0,0
3922,-11315,11696,0,0
3931,-11335,11718,0,0
3938,-11363,11740,0,0
3947,-11385,11758,0,0
3954,-11407,11771,0,0
3963,-11429,11789,0,0
3970,-11455,11808,0,0
3978,-11479,11826,0,0
3986,-11504,11846,0,0
3995,-11527,11869,0,0
4002,-11548,11891,0,0
4010,-11572,11915,0,0
4018,-11595,11939,0,0
4027,-11615,11965,0,0
4034,-11638,11991,0,0
4042,-11664,12019,0,0
4051,-11690,12048,0,0
4058,-11714,12073,0,0
4067,-11740,12099,0,0
4074,-11768,12126,0,0
4083,-11794,12153,0,0
4092,-11820,12180,0,0
4099,-11849,12206,0,0
4108,-11878,12231,0,0
4115,-11905,12258,0,0
4124,-11933,12286,0,0
4131,-11959,12315,0,0
4140,-11987,12341,0,0
4147,-12010,12366,0,0
4155,-12034,12391,0,0
4164,-12060,12418,0,0
4171,-12085,12441,0,0
4179,-12109,12464,0,0
4187,-12133,12489,0,0
4196,-12152,12511,0,0
4203,-12172,12533,0,0
4211,-12188,12551,0,0
4219,-12205,12570,0,0
4227,-12224,12588,0,0
4234,-12240,12603,0,0
4243,-12259,12620,0,0
4251,-12276,12636,0,0
4259,-12297,12656,0,0
4267,-12314,12674,0,0
4274,-12337,12693,0,0
4283,-12357,12711,0,0
4290,-12375,12729,0,0
4299,-12395,12754,0,0
4306,-12415,12775,0,0
4315,-12434,12799,0,0
4322,-12457,12821,0,0
4331,-12479,12843,0,0
4338,-12504,12864,0,0
4347,-12530,12890,0,0
4354,-12555,12915,0,0
4363,-12580,12943,0,0
4370,-12610,12970,0,0
4379,-12635,12995,0,0
4386,-12662,13020,0,0
4395,-12688,13045,0,0
4403,-12717,13068,0,0
4410,-12743,13094,0,0
4419,-12773,13119,0,0
4426,-12799,13144,0,0
4435,-12825,13170,0,0
4442,-12852,13193,0,0
4451,-12880,13218,0,0
4458,-12910,13243,0,0
4467,-12939,13268,0,0
4474,-12969,13294,0,0
4483,-12995,13318,0,0
4491,-13022,13340,0,0
4500,-13045,13364,0,0
4507,-13070,13389,0,0
4516,-13095,13411,0,0
4523,-13118,13434,0,0
4532,-13143,13454,0,0
4539,-13168,13475,0,0
4548,-13194,13495,0,0
4555,-13214,13514,0,0
4564,-13234,13530,0,0
4571,-13253,13546,0,0
4580,-13272,13559,0,0
4586,-13292,13574,0,0
4595,-13315,13594,0,0
4602,-13338,13615,0,0
4611,-13367,13629,0,0
4618,-13395,13643,0,0
4627,-13424,13659,0,0
4635,-13450,13680,0,0
4642,-13477,13701,0,0
4651,-13505,13723,0,0
4658,-13534,13743,0,0
4667,-13559,13764,0,0
4674,-13580,13786,0,0
4683,-13608,13811,0,0
4690,-13633,13844,0,0
4699,-13657,13880,0,0
4706,-13679,13924,0,0
4714,-13697,13966,0,0
4723,-13714,14004,0,0
4730,-13734,14033,0,0
4739,-13754,14059,0,0
4746,-13779,14084,0,0
4755,-13802,14109,0,0
4762,-13822,14133,0,0
4771,-13849,14164,0,0
4778,-13872,14189,0,0
4786,-13897,14214,0,0
4795,-13922,14239,0,0
4802,-13950,14266,0,0
4811,-13979,14291,0,0
4818,-14008,14316,0,0
4826,-14008,14316,0,0
4827,-14037,14341,0,0
4834,-14065,14369,0,0
4842,-14065,14369,0,0
4843,-14094,14394,0,0
4852,-14122,14418,0,0
4859,-14148,14443,0,0
4868,-14172,14466,0,0
4875,-14200,14490,0,0
4883,-14227,14514,0,0
4892,-14252,14540,0,0
4899,-14275,14565,0,0
4908,-14299,14595,0,0
4915,-14324,14620,0,0
4924,-14352,14640,0,0
4931,-14378,14660,0,0
4939,-14400,14680,0,0
4947,-14425,14699,0,0
4954,-14447,14716,0,0
4963,-14468,14738,0,0
4970,-14490,14759,0,0
4978,-14513,14779,0,0
4986,-14535,14800,0,0
4995,-14560,14826,0,0
5002,-14583,14856,0,0
5011,-14602,14893,0,0
5019,-14620,14928,0,0
5026,-14642,14969,0,0
5035,-14659,15014,0,0
5042,-14678,15061,0,0
5051,-14700,15101,0,0
5058,-14723,15143,0,0
5067,-14744,15179,0,0
5074,-14765,15209,0,0
5083,-14789,15235,0,0
5091,-14814,15258,0,0
5098,-14840,15280,0,0
5107,-14865,15304,0,0
5114,-14887,15328,0,0
5123,-14912,15349,0,0
5131,-14935,15369,0,0
5139,-14957,15389,0,0
5146,-14980,15408,0,0
5154,-15005,15425,0,0
5163,-15032,15448,0,0
5170,-15055,15470,0,0
5179,-15078,15496,0,0
5186,-15099,15526,0,0
5194,-15099,15526,0,0
5195,-15124,15558,0,0
5202,-15148,15586,0,0
5210,-15173,15623,0,0
5219,-15194,15650,0,0
5228,-15215,15671,0,0
5236,-15242,15694,0,0
5243,-15269,15716,0,0
5252,-15294,15744,0,0
5259,-15320,15773,0,0
5267,-15348,15801,0,0
5275,-15377,15826,0,0
5284,-15405,15851,0,0
5291,-15434,15878,0,0
5300,-15460,15905,0,0
5307,-15485,15930,0,0
5315,-15510,15955,0,0
5324,-15537,15983,0,0
5331,-15558,16008,0,0
5338,-15575,16033,0,0
5347,-15593,16058,0,0
5354,-15609,16081,0,0
5363,-15625,16104,0,0
5371,-15643,16129,0,0
5378,-15663,16151,0,0
5387,-15683,16174,0,0
5394,-15707,16198,0,0
5403,-15729,16218,0,0
5410,-15750,16239,0,0
5419,-15770,16263,0,0
5426,-15793,16288,0,0
5434,-15813,16311,0,0
5443,-15833,16334,0,0
5451,-15854,16358,0,0
5459,-15875,16383,0,0
5466,-15899,16406,0,0
5475,-15920,16430,0,0
5482,-15942,16455,0,0
5490,-15967,16479,0,0
5499,-15992,16505,0,0
5507,-16018,16530,0,0
5514,-16044,16556,0,0
5523,-16070,16581,0,0
5530,-16094,16606,0,0
5539,-16119,16634,0,0
5546,-16148,16664,0,0
5555,-16182,16695,0,0
5562,-16207,16720,0,0
5571,-16233,16746,0,0
5578,-16257,16770,0,0
5586,-16279,16790,0,0
5594,-16279,16790,0,0
5594,-16313,16821,0,0
5602,-16313,16821,0,0
5603,-16340,16846,0,0
5612,-16365,16870,0,0
5619,-16394,16896,0,0
5628,-16423,16921,0,0
5636,-16450,16948,0,0
5643,-16475,16973,0,0
5652,-16503,16998,0,0
5659,-16535,17028,0,0
5668,-16565,17061,0,0
5675,-16594,17091,0,0
5684,-16620,17119,0,0
5691,-16648,17143,0,0
5700,-16673,17163,0,0
5707,-16702,17190,0,0
5715,-16720,17208,0,0
5722,-16743,17230,0,0
5731,-16767,17254,0,0
5738,-16793,17276,0,0
5746,-16822,17300,0,0
5754,-16850,17324,0,0
5763,-16877,17348,0,0
5770,-16904,17370,0,0
5779,-16927,17398,0,0
5786,-16948,17423,0,0
5795,-16970,17450,0,0
5802,-16993,17476,0,0
5811,-17019,17508,0,0
5819,-17043,17538,0,0
5826,-17064,17563,0,0
5835,-17082,17589,0,0
5842,-17098,17623,0,0
5850,-17110,17656,0,0
5858,-17124,17691,0,0
5867,-17139,17723,0,0
5874,-17155,17753,0,0
5883,-17177,17781,0,0
5890,-17202,17803,0,0
5898,-17229,17826,0,0
5907,-17259,17855,0,0
5914,-17288,17879,0,0
5923,-17317,17903,0,0
5931,-17347,17929,0,0
5938,-17374,17953,0,0
5946,-17400,17979,0,0
5955,-17427,18005,0,0
5964,-17453,18031,0,0
5971,-17480,18058,0,0
5980,-17509,18086,0,0
5987,-17538,18110,0,0
5995,-17567,18135,0,0
6004,-17592,18156,0,0
6011,-17617,18178,0,0
6020,-17644,18203,0,0
6027,-17670,18228,0,0
6036,-17695,18254,0,0
6043,-17723,18283,0,0
6052,-17748,18308,0,0
6059,-17770,18333,0,0
6067,-17795,18363,0,0
6075,-17817,18386,0,0
6083,-17840,18414,0,0
6090,-17862,18440,0,0
6099,-17884,18465,0,0
6106,-17907,18494,0,0
6115,-17928,18525,0,0
6122,-17948,18559,0,0
6131,-17969,18601,0,0
6138,-17988,18645,0,0
6146,-18008,18691,0,0
6154,-18029,18740,0,0
6163,-18049,18788,0,0
6170,-18068,18833,0,0
6178,-18087,18875,0,0
6187,-18104,18909,0,0
6195,-18125,18940,0,0
6202,-18144,18964,0,0
6211,-18167,18986,0,0
6219,-18193,19009,0,0
6226,-18219,19031,0,0
6235,-18242,19055,0,0
6242,-18259,19081,0,0
6251,-18282,19108,0,0
6258,-18308,19135,0,0
6266,-18332,19161,0,0
6275,-18355,19184,0,0
6282,-18378,19204,0,0
6290,-18402,19230,0,0
6298,-18428,19256,0,0
6307,-18452,19285,0,0
6314,-18475,19314,0,0
6323,-18503,19340,0,0
6332,-18529,19365,0,0
6339,-18554,19389,0,0
6348,-18580,19415,0,0
6355,-18605,19440,0,0
6363,-18630,19465,0,0
6371,-18655,19490,0,0
6379,-18684,19515,0,0
6388,-18712,19540,0,0
6395,-18742,19566,0,0
6404,-18770,19594,0,0
