time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
3856,13.3714,0.706141,0.567908,15.898,32.0263
3887,14.3805,0.703453,0.573668,16.8045,31.0118
3920,13.4532,0.687326,0.607842,16.7546,32.969
3952,13.4601,0.626273,0.620897,16.5991,32.0186
3983,13.634,0.656607,0.567524,16.5934,31.8873
4015,13.528,0.95688,0.568292,16.4006,31.9802
4047,29.6545,0.721884,0.584035,16.5934,31.9772
4096,13.5369,0.742619,0.589795,16.6018,48.0575
4127,13.6098,0.757594,0.574819,16.5488,31.9464
4159,13.6259,0.780249,0.567524,16.573,31.9891
4191,13.5902,0.694622,0.613986,16.6252,32.0267
4224,13.4635,0.693086,0.582883,16.73,32.0639
4255,13.5649,0.710365,0.587107,16.6609,31.918
4287,13.6248,0.716124,0.600546,16.6056,32.009
4319,13.5346,0.677726,0.570212,16.7416,32.004
4351,13.5676,0.711517,0.575587,16.4601,31.991
4383,13.9911,0.678494,0.567908,16.31,31.8593
4415,29.6364,0.860885,0.580579,16.4378,32.0344
4463,13.6878,0.759514,0.5729,16.3315,47.9957
4495,13.98,0.756442,0.569828,16.1986,31.966
4527,13.7315,0.690014,0.585955,16.5085,32.001
4559,13.9727,0.665055,0.580579,16.3065,31.9856
4591,13.6816,0.69347,0.568676,16.5707,32.0198
4623,13.9558,0.660831,0.567908,16.3595,31.9825
4655,13.7154,0.730716,0.580579,16.5043,32.0294
4687,14.0982,0.677342,0.580579,16.1502,31.9914
4719,13.98,0.68771,0.568676,16.1291,32.0056
4751,13.9727,0.673887,0.582115,16.2739,31.8512
4783,29.8921,0.718044,0.576739,16.3434,31.9918
4831,13.7408,0.901587,0.577123,16.28,48.0222
4863,13.8168,0.824407,0.572516,16.3223,31.9914
4895,13.735,0.784473,0.567524,16.4628,32.0113
4927,13.7734,0.799448,0.601698,16.2624,32.0014
4959,13.8471,0.772186,0.5729,16.343,31.9779
4991,13.8525,0.776409,0.571748,16.3234,31.9941
5023,13.8106,0.725724,0.571748,16.4071,32.0037
5055,13.8698,0.762586,0.572516,16.3365,32.0021
5087,13.8406,0.753755,0.57098,16.2267,32.0182
5119,14.0798,0.728796,0.612834,16.098,31.8735
5151,29.9628,0.687326,0.57098,16.1548,32.0159
5199,13.9761,0.696157,0.569828,16.2462,47.9826
5231,14.0648,0.841686,0.57098,15.9986,31.991
5263,14.1305,0.716508,0.569828,16.0984,31.9875
5295,14.1251,0.712669,0.570596,16.0857,32.0025
5327,14.1029,0.671199,0.574819,16.1829,32.0002
5359,14.0076,0.775641,0.588259,16.1168,32.0213
5391,14.1232,0.701917,0.567524,16.1299,31.9802
5423,14.0986,0.691934,0.568292,16.1522,31.9875
5455,14.2027,0.760282,0.636256,15.8688,32.0037
5487,14.1558,0.636256,0.574819,16.1145,31.9891
5519,29.9532,0.64624,0.563684,16.2593,31.9856
5567,14.0061,0.724188,0.574435,16.171,47.9112
5599,14.1067,0.77257,0.569444,16.0911,31.9691
5631,13.9708,0.93077,0.560996,16.0596,32.034
5663,13.9758,0.723036,0.560612,16.2535,31.9952
5695,13.9742,0.788697,0.560996,16.1614,32.0014
5727,14.1528,0.75529,0.559844,16.0769,31.9614
5759,14.0334,0.769882,0.570212,16.1437,32.0259
5791,14.0142,0.711133,0.564068,16.227,32.0017
5823,14.1451,0.673119,0.574051,16.1092,32.001
5855,14.0241,0.794457,0.560228,16.1268,31.9802
5887,30.0096,0.841302,0.566372,16.6832,31.9906
5935,13.649,0.768346,0.587107,16.6805,48.5863
5968,13.2047,0.715356,0.560612,15.9698,32.3343
5999,14.2196,0.698077,0.59517,15.9709,30.9627
6031,14.1708,0.840534,0.559844,15.9452,32.0106
6063,14.1493,0.781017,0.61053,15.9525,31.9937
6095,14.1336,0.676958,0.560996,16.1533,32.004
6127,14.2127,0.809048,0.562148,16.9021,32.0186
6160,13.1356,0.796376,0.585187,15.9517,32.9851
6191,14.2722,0.811352,0.568292,15.8692,30.9688
6223,30.096,0.655455,0.560996,16.1829,32.0259
6271,14.367,0.703069,0.568676,16.7162,47.973
6304,13.3053,0.771802,0.567908,15.8707,32.8653
6335,14.3766,0.714205,0.608994,16.7251,31.0122
6368,13.391,0.711133,0.558692,15.9014,32.9909
6399,14.2764,0.678878,0.564452,15.9521,31.0618
6431,14.3321,0.843606,0.562916,16.75,31.9633
6464,13.4704,0.741851,0.5633,16.6993,32.9732
6496,13.3437,0.830551,0.569828,16.7999,32.0006
6528,13.2857,0.709981,0.567524,15.9248,32.0248
6559,14.4623,0.71958,0.577507,16.722,30.98
6592,29.3361,0.732636,0.564452,16.8379,33.0024
6640,13.3487,0.810968,0.561764,16.8249,47.9892
6672,13.3721,0.832471,0.562148,16.7373,32.0532
6704,13.149,0.689246,0.55754,16.1107,31.9822
6735,14.218,0.679262,0.557924,16.0719,30.9754
6767,14.3041,0.712669,0.608994,16.8479,32.0405
6800,13.3529,0.691166,0.557924,16.8783,32.9636
6832,13.3326,0.826711,0.607458,16.5672,31.9795
6864,13.4528,0.85167,0.559076,16.6571,31.8643
6896,13.4347,0.706141,0.557156,16.798,32.0325
6928,13.4094,0.735707,0.575587,16.788,31.9825
6960,29.421,0.708829,0.564068,16.8283,31.9856
7008,13.4739,0.740315,0.609378,16.6824,48.0122
7040,13.3572,0.708829,0.56138,16.8783,32.0678
7072,13.4608,0.771802,0.569444,16.4866,31.9726
7103,13.5603,0.859349,0.562916,16.5607,31.8412
7135,13.5676,0.832087,0.567524,16.5814,31.9802
7167,13.5626,0.712285,0.575203,16.6966,32.001
7199,13.5515,0.842838,0.567524,16.535,32.0221
7231,13.5718,0.886996,0.567524,16.4989,31.9676
7263,13.5795,0.844374,0.566372,16.5519,32.0271
7295,13.5964,0.827479,0.566372,16.5511,32.0102
7327,29.4932,0.810584,0.577891,16.6367,32.006
7375,13.568,0.814808,0.565988,16.5619,47.978
7407,13.5084,0.837078,0.574819,16.5799,31.9952
7439,13.6202,0.710749,0.608994,16.6164,31.9795
7471,13.7296,0.711133,0.5729,16.3445,32.049
7503,13.7054,0.72534,0.571748,16.5573,31.8336
7535,13.6156,0.726492,0.568676,16.5957,32.0098
7567,13.6467,0.777177,0.568292,16.5953,31.9737
7599,13.6513,0.784473,0.580195,16.4405,32.0755
7631,13.8133,0.842454,0.568676,16.2923,31.9326
7663,13.9351,0.759514,0.572132,16.1702,31.9879
7695,29.6614,0.736475,0.57098,16.5665,32.0436
7743,13.8897,0.718428,0.577507,16.2631,48.003
7775,13.6824,0.84015,0.567908,16.4344,31.9487
7807,13.9032,0.734172,0.571364,16.2117,32.0071
7839,13.8625,0.834391,0.568292,16.2716,31.8789
7871,13.8464,0.77065,0.572132,16.2954,32.014
7903,13.8817,0.695005,0.566372,16.4298,31.9802
7935,13.9128,0.722268,0.572132,16.3115,32.0325
7967,13.8801,0.747995,0.584419,16.2432,32.0202
7999,13.9754,0.681566,0.569828,16.3488,31.9342
8031,13.7853,0.83823,0.569828,16.3134,32.0363
8063,29.7915,0.744155,0.571364,16.3749,31.9975
8111,13.8452,0.857429,0.579427,16.1714,47.9961
8143,13.8279,0.832855,0.573284,16.2558,31.9722
8175,13.7646,0.713821,0.570596,16.4432,32.0159
8207,13.8095,0.658527,0.568676,16.3269,32.0044
8239,13.9688,0.660063,0.574051,16.2935,31.8635
8271,13.9404,0.698077,0.572132,16.2819,32.0267
8303,13.8894,0.692702,0.569444,16.3169,31.9887
8335,13.9512,0.79676,0.578659,16.1894,31.9706
8367,13.9554,0.667743,0.56714,16.265,32.0182
8399,14.132,0.703453,0.61245,16.1065,31.9822
8431,29.8545,0.84207,0.589411,16.1353,32.0693
8479,14.0426,0.763738,0.592867,16.1011,47.9231
8511,13.9493,0.797144,0.572132,16.2051,32.0087
8543,13.9339,0.724188,0.569828,16.2912,32.001
8575,13.9109,0.8102,0.59517,16.0404,32.0217
8607,14.0602,0.799448,0.569444,16.0301,31.8631
8639,14.142,0.752987,0.574051,16.0577,31.9749
8671,14.0399,0.737243,0.572132,16.1514,32.0159
8703,14.0433,0.677726,0.567908,16.2228,32.006
8735,14.061,0.681566,0.567908,16.1717,31.9983
8767,30.0638,0.68387,0.578275,16.1744,31.9941
8815,13.9861,0.708829,0.606306,16.0896,48.0038
8847,14.2035,0.985295,0.571364,16.7615,31.9679
8880,13.2251,0.859349,0.625121,16.7539,33.0323
8912,13.0868,0.720348,0.577891,16.1107,31.9933
8943,14.2207,13.6728,0.594786,16.037,31.0118
8988,1.00565,0.71766,0.564452,16.0347,45.0486
9007,14.1443,0.733404,0.574819,16.0251,18.8201
9039,14.2303,0.791001,0.578659,15.9321,31.9802
9071,14.3064,0.771802,0.598626,15.8173,32.0098
9103,14.1474,0.668511,0.569444,16.1333,31.9714
9135,30.3161,0.684638,0.627809,15.8999,32.0198
9183,14.1946,0.843222,0.582499,15.8292,48.0356
9215,14.2369,0.753755,0.613218,15.8953,31.9603
9247,14.2526,0.900435,0.592867,16.7446,31.9937
9280,13.1606,0.781785,0.569444,15.9644,32.9993
9311,14.1489,0.746075,0.567524,16.0128,31.0111
9343,14.2138,0.84591,0.571364,15.8642,31.9745
9375,14.1662,0.708061,0.567908,15.964,31.9975
9407,14.2922,0.668511,0.56906,15.9494,31.8961
9439,14.2975,0.698077,0.567908,15.9847,31.9791
9471,14.2945,0.670431,0.567908,15.9751,32.0152
9503,30.3341,0.663903,0.573284,15.9506,31.9856
9551,14.3286,0.810584,0.583651,16.7635,48.0187
9584,13.2784,0.705373,0.569444,16.9205,33.0043
9616,13.2504,0.722268,0.576355,15.931,31.9925
9647,14.3033,0.848598,0.570596,16.7761,30.9761
