time[ms],x,y,arc,pos
2186,15,3497,0,0
2194,15,3510,0,0
2202,15,3523,0,0
2210,15,3538,0,0
2218,19,3553,0,0
2226,20,3570,0,0
2234,22,3584,0,0
2242,22,3598,0,0
2250,22,3613,0,0
2258,23,3625,0,0
2266,23,3638,0,0
2274,23,3651,0,0
2282,23,3666,0,0
2290,24,3677,0,0
2297,24,3686,0,0
2305,24,3686,0,0
2306,24,3697,0,0
2314,20,3711,0,0
2322,20,3723,0,0
2330,20,3736,0,0
2338,20,3747,0,0
2346,16,3759,0,0
2354,16,3771,0,0
2362,15,3784,0,0
2370,14,3797,0,0
2378,14,3810,0,0
2386,14,3822,0,0
2394,11,3836,0,0
2402,10,3848,0,0
2410,9,3860,0,0
2418,9,3872,0,0
2426,6,3886,0,0
2434,6,3898,0,0
2442,6,3910,0,0
2450,6,3921,0,0
2458,6,3932,0,0
2466,4,3946,0,0
2474,2,3959,0,0
2482,2,3971,0,0
2490,1,3983,0,0
2498,0,3996,0,0
2506,0,4009,0,0
2514,0,4024,0,0
2522,0,4038,0,0
2530,4,4052,0,0
2538,7,4067,0,0
2546,7,4081,0,0
2554,7,4096,0,0
2562,7,4109,0,0
2570,8,4123,0,0
2578,8,4140,0,0
2586,9,4161,0,0
2594,10,4182,0,0
2602,12,4201,0,0
2610,12,4219,0,0
2618,13,4233,0,0
2626,17,4251,0,0
2634,18,4263,0,0
2642,19,4274,0,0
2650,19,4287,0,0
2658,19,4301,0,0
2666,19,4316,0,0
2674,19,4329,0,0
2682,19,4342,0,0
2690,19,4354,0,0
2698,19,4368,0,0
2706,17,4383,0,0
2714,16,4396,0,0
2722,15,4410,0,0
2730,15,4422,0,0
2738,14,4433,0,0
2746,11,4446,0,0
2754,10,4459,0,0
2762,9,4471,0,0
2770,6,4483,0,0
2778,5,4494,0,0
2786,4,4506,0,0
2794,1,4518,0,0
2802,0,4531,0,0
2810,0,4542,0,0
2818,-3,4555,0,0
2826,-4,4567,0,0
2834,-4,4579,0,0
2842,-5,4592,0,0
2850,-5,4603,0,0
2858,-6,4617,0,0
2866,-8,4631,0,0
2874,-9,4641,0,0
2882,-10,4653,0,0
2890,-11,4666,0,0
2898,-13,4677,0,0
2906,-14,4691,0,0
2914,-14,4704,0,0
2922,-15,4716,0,0
2930,-16,4728,0,0
2938,-18,4740,0,0
2946,-18,4750,0,0
2954,-19,4763,0,0
2962,-20,4778,0,0
2970,-20,4792,0,0
2978,-21,4804,0,0
2986,-23,4817,0,0
2994,-24,4832,0,0
3002,-24,4846,0,3
3010,-21,4863,0,3
3018,-17,4876,3,3
3026,-15,4890,7,3
3034,-15,4902,9,4
3042,-15,4916,9,4
3050,-15,4929,9,4
3058,-15,4944,9,4
3066,-15,4957,9,4
3074,-15,4971,9,4
3082,-15,4986,9,4
3090,-15,4998,9,4
3098,-18,5012,9,4
3106,-20,5027,14,4
3114,-20,5043,19,4
3122,-20,5059,19,4
3130,-20,5076,19,4
3138,-23,5090,19,4
3146,-24,5102,20,5
3154,-26,5113,25,5
3162,-26,5123,29,5
3170,-26,5136,29,5
3178,-27,5148,29,5
3186,-29,5161,31,6
3194,-29,5172,33,6
3202,-30,5183,33,6
3210,-31,5193,36,6
3218,-34,5206,42,7
3226,-34,5216,46,7
3234,-36,5228,46,7
3242,-36,5241,51,7
3250,-36,5252,51,7
3258,-38,5265,51,7
3266,-39,5277,53,8
3274,-40,5289,57,8
3282,-43,5301,56,8
3290,-43,5313,56,8
3298,-43,5325,56,8
3306,-43,5337,56,8
3314,-43,5348,56,8
3322,-43,5358,56,8
3330,-43,5370,56,8
3338,-46,5380,56,8
3346,-46,5393,61,8
3354,-46,5405,61,8
3362,-46,5417,61,8
3370,-48,5430,61,8
3378,-49,5442,62,8
3386,-50,5455,61,8
3394,-51,5468,63,8
3402,-51,5481,64,9
3410,-53,5493,64,9
3418,-55,5507,66,9
3426,-55,5521,71,9
3434,-55,5534,71,9
3442,-56,5546,71,9
3450,-56,5558,71,9
3458,-56,5572,71,9
3466,-56,5589,71,9
3474,-51,5606,71,9
3482,-51,5617,73,9
3490,-49,5630,73,9
3498,-48,5644,74,9
3506,-48,5657,75,10
3514,-48,5671,75,10
3522,-48,5685,75,10
3530,-48,5696,75,10
3538,-48,5709,75,10
3546,-48,5722,75,10
3554,-48,5736,75,10
3562,-48,5748,75,10
3570,-48,5763,75,10
3578,-48,5776,75,10
3586,-49,5788,75,10
3594,-50,5799,74,9
3602,-51,5810,75,10
3610,-54,5823,76,10
3618,-54,5835,76,10
3626,-54,5846,76,10
3634,-55,5858,76,10
3642,-55,5868,80,10
3650,-55,5878,80,10
3658,-57,5892,80,10
3666,-59,5902,81,10
3674,-60,5915,82,10
3682,-60,5927,84,10
3690,-60,5939,84,10
3698,-61,5952,84,10
3706,-63,5963,85,10
3714,-63,5977,85,10
3722,-63,5990,85,10
3730,-63,6002,85,10
3738,-63,6014,85,10
3746,-63,6027,85,10
3754,-63,6038,85,10
3762,-63,6049,85,10
3770,-63,6061,85,10
3778,-63,6073,85,10
3786,-63,6086,85,10
3794,-63,6097,85,10
3802,-63,6109,85,10
3810,-64,6122,85,10
3818,-65,6134,85,10
3826,-65,6147,84,10
3834,-66,6160,84,10
3842,-68,6173,84,10
3850,-68,6186,84,10
3858,-68,6199,84,10
3866,-69,6212,84,10
3874,-67,6232,84,10
3882,-61,6247,83,10
3890,-58,6259,82,10
3898,-58,6273,83,10
3906,-58,6283,83,10
3914,-58,6298,83,10
3922,-58,6311,83,10
3929,-59,6322,83,10
3937,-59,6322,83,10
3938,-59,6337,83,10
3946,-59,6351,83,10
3954,-59,6365,83,10
3962,-59,6379,83,10
3970,-59,6393,83,10
3978,-60,6407,83,10
3986,-60,6422,83,10
3994,-63,6437,83,10
4002,-63,6451,83,10
4010,-63,6466,83,10
4018,-63,6478,83,10
4026,-63,6492,83,10
4034,-63,6505,83,10
4042,-65,6516,83,10
4050,-65,6527,84,10
4058,-66,6538,84,10
4066,-69,6550,84,10
4074,-70,6562,85,10
4082,-71,6573,84,10
4090,-73,6585,84,10
4098,-73,6596,86,11
4106,-73,6607,86,11
4114,-75,6618,86,11
4122,-75,6633,87,11
4130,-76,6646,87,11
4138,-78,6657,87,11
4146,-79,6669,87,11
4154,-81,6682,87,11
4162,-83,6697,87,11
4170,-83,6709,88,11
4178,-83,6722,88,11
4186,-85,6735,88,11
4194,-86,6747,89,11
4202,-86,6762,89,11
4210,-88,6774,89,11
4218,-89,6786,90,11
4226,-89,6798,89,11
4234,-90,6810,89,11
4242,-93,6821,89,11
4250,-94,6833,89,11
4258,-96,6847,90,11
4266,-96,6860,93,11
4274,-96,6873,93,11
4282,-96,6887,93,11
4290,-96,6903,93,11
4298,-91,6916,93,11
4306,-89,6929,92,11
4314,-88,6942,91,11
4322,-88,6956,91,11
4330,-88,6969,91,11
4338,-88,6984,91,11
4346,-88,6998,91,11
4354,-86,7013,91,11
4362,-85,7030,90,11
4370,-82,7051,90,11
4378,-84,7072,89,11
4386,-85,7091,89,11
4394,-88,7108,89,11
4402,-91,7121,89,11
4410,-91,7133,89,11
4418,-91,7147,89,11
4426,-91,7163,89,11
4434,-91,7177,89,11
4442,-91,7191,89,11
4450,-91,7204,89,11
4458,-93,7218,89,11
4466,-94,7234,90,11
4474,-95,7248,91,11
4482,-98,7262,90,11
4490,-99,7276,91,11
4498,-101,7289,91,11
4506,-103,7302,91,11
4514,-104,7317,92,11
4522,-105,7327,92,11
4530,-106,7338,93,11
4538,-106,7350,93,11
4546,-108,7362,93,11
4554,-110,7375,93,11
4562,-111,7388,93,11
4570,-113,7401,93,11
4578,-114,7412,93,11
4586,-114,7425,94,11
4594,-116,7438,94,11
4602,-118,7451,94,11
4610,-120,7463,95,11
4618,-121,7478,95,11
4626,-123,7491,95,11
4634,-124,7504,95,11
4642,-126,7517,95,11
4650,-128,7529,95,11
4658,-129,7542,96,11
4666,-129,7553,95,11
4674,-130,7566,95,11
4682,-131,7580,95,11
4690,-133,7593,95,11
4698,-134,7606,95,11
4706,-135,7617,95,11
4714,-138,7629,94,11
4722,-139,7643,95,11
4730,-141,7658,94,11
4738,-143,7672,95,11
4746,-144,7684,95,11
4754,-145,7698,95,11
4762,-146,7712,94,11
4770,-148,7727,94,11
4778,-150,7742,94,11
4786,-151,7757,94,11
4794,-152,7771,94,11
4802,-154,7785,94,11
4809,-155,7798,94,11
4817,-157,7812,93,11
4825,-159,7825,94,11
4833,-159,7825,94,11
4834,-160,7841,94,11
4842,-161,7856,94,11
4850,-164,7871,94,11
4858,-166,7883,94,11
4866,-169,7901,95,11
4874,-170,7914,95,11
4882,-171,7932,95,11
4890,-174,7948,94,11
4898,-175,7962,94,11
4906,-176,7975,94,11
4914,-179,7988,94,11
4922,-181,8002,94,11
4930,-183,8014,95,11
4938,-184,8026,95,11
4946,-184,8039,95,11
4954,-186,8053,95,11
4962,-188,8063,95,11
4970,-189,8073,95,11
4978,-190,8084,96,11
4986,-193,8095,95,11
4994,-194,8108,95,11
5002,-195,8121,95,11
5010,-198,8132,95,11
5018,-199,8144,95,11
5026,-200,8156,95,11
5034,-200,8168,94,11
5042,-200,8182,94,11
5050,-200,8193,94,11
5058,-200,8206,94,11
5066,-200,8217,94,11
5074,-201,8231,94,11
5082,-203,8242,94,11
5090,-204,8253,94,11
5098,-206,8266,94,11
